SaanichInlet_150m.249	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__bin127;g__;s__
SaanichInlet_150m.87	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__;s__
SaanichInlet_150m.123	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__Pacebacteraceae;g__;s__
SaanichInlet_150m.67	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__Pacebacteraceae;g__;s__
SaanichInlet_150m.12	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__;g__;s__
SaanichInlet_150m.128	d__Bacteria;p__Patescibacteria;c__ABY1;o__;f__;g__;s__
SaanichInlet_150m.241	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikibacterales;f__UBA922;g__;s__
SaanichInlet_150m.146	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikibacterales;f__UBA922;g__;s__
SaanichInlet_150m.19	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikibacterales;f__UBA922;g__;s__
SaanichInlet_150m.235	d__Bacteria;p__Patescibacteria;c__ABY1;o__Komeilibacterales;f__UBA10009;g__;s__
SaanichInlet_150m.115	d__Bacteria;p__Patescibacteria;c__ABY1;o__Komeilibacterales;f__GWA2-36-10;g__;s__
SaanichInlet_150m.30	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peregrinibacterales;f__;g__;s__
SaanichInlet_150m.89	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__;f__;g__;s__
SaanichInlet_150m.187	d__Bacteria;p__Margulisbacteria;c__ZB3;o__;f__;g__;s__
SaanichInlet_150m.7	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__;g__;s__
SaanichInlet_150m.173	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__TCS61;g__;s__
SaanichInlet_150m.138	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__
SaanichInlet_150m.154	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G11;s__
SaanichInlet_150m.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__;s__
SaanichInlet_150m.53	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__1G12;g__SHAN690;s__
SaanichInlet_150m.215	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__Marinisoma;s__
SaanichInlet_150m.4	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__Marinisoma;s__
SaanichInlet_150m.255	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA8229;g__;s__
SaanichInlet_150m.252	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__;s__
SaanichInlet_150m.200	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__GCA-002724215;g__;s__
SaanichInlet_150m.169	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__;s__
SaanichInlet_150m.94	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__GCA-002718515;s__
SaanichInlet_150m.186	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
SaanichInlet_150m.224	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__;s__
SaanichInlet_150m.37	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__
SaanichInlet_150m.219	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__
SaanichInlet_150m.257	d__Bacteria;p__Dadabacteria;c__UBA1144;o__UBA1144;f__UBA1144;g__;s__
SaanichInlet_150m.230	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA1609;g__;s__
SaanichInlet_150m.129	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__
SaanichInlet_150m.217	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__;s__
SaanichInlet_150m.148	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__2-02-FULL-58-16;g__;s__
SaanichInlet_150m.178	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__;s__
SaanichInlet_150m.184	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__;s__
SaanichInlet_150m.228	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__;s__
SaanichInlet_150m.195	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
SaanichInlet_150m.95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__;s__
SaanichInlet_150m.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__
