SaanichInlet_150m.62	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
SaanichInlet_150m.101	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
SaanichInlet_150m.183	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__
SaanichInlet_150m.25	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__;g__;s__
SaanichInlet_150m.256	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__;s__
SaanichInlet_150m.210	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__;s__
SaanichInlet_150m.124	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_150m.58	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_150m.66	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_150m.78	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_150m.248	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_150m.134	d__Archaea;p__Micrarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__;g__;s__
SaanichInlet_150m.206	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
SaanichInlet_150m.79	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__;s__
SaanichInlet_150m.166	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__;s__
